115|OTHER|HR|1329|CREC-2017-11-01-pt1-PgS6967-6
115|OTHER|HR|2521|CREC-2017-11-01-pt1-PgS6967-6
115|OTHER|HR|2921|CREC-2017-11-01-pt1-PgS6967-6
115|OTHER|HR|2941|CREC-2017-11-01-pt1-PgS6967-6
115|OTHER|HR|3567|CREC-2017-11-01-pt1-PgS6967-6
115|TITLE|HR|4202|CREC-2017-11-01-pt1-PgH8385-4
115|FIRSTPARAGRAPH|HR|2997|CREC-2017-11-01-pt1-PgH8303
115|OTHER|HR|2997|CREC-2017-11-01-pt1-PgH8303
115|OTHER|HRES|195|CREC-2017-11-01-pt1-PgH8374
115|OTHER|HR|1889|CREC-2017-11-01-pt1-PgH8374
115|OTHER|HR|3533|CREC-2017-11-01-pt1-PgH8374
115|TITLE|HR|4213|CREC-2017-11-01-pt1-PgH8386-4
115|OTHER|HR|293|CREC-2017-11-01-pt1-PgH8326
115|OTHER|HRES|595|CREC-2017-11-01-pt1-PgH8326
115|OTHER|HR|2647|CREC-2017-11-01-pt1-PgH8326
115|HEADERLINE|HR|2936|CREC-2017-11-01-pt1-PgH8326
115|OTHER|HR|2936|CREC-2017-11-01-pt1-PgH8326
115|OTHER|HR|3907|CREC-2017-11-01-pt1-PgH8326
115|FIRSTPARAGRAPH|SRES|4|CREC-2017-11-01-pt1-PgE1488
115|OTHER|SRES|4|CREC-2017-11-01-pt1-PgE1488
115|OTHER|S|465|CREC-2017-11-01-pt1-PgE1488
115|OTHER|S|1400|CREC-2017-11-01-pt1-PgE1488
115|OTHER|S|1591|CREC-2017-11-01-pt1-PgE1488
115|OTHER|S|1668|CREC-2017-11-01-pt1-PgE1488
115|OTHER|S|1693|CREC-2017-11-01-pt1-PgE1488
115|HEADERLINE|HR|2600|CREC-2017-11-01-pt1-PgH8324
115|FIRSTPARAGRAPH|HR|2600|CREC-2017-11-01-pt1-PgH8324
115|OTHER|HR|2600|CREC-2017-11-01-pt1-PgH8324
115|HEADERLINE|HR|3279|CREC-2017-11-01-pt1-PgH8323
115|FIRSTPARAGRAPH|HR|3279|CREC-2017-11-01-pt1-PgH8323
115|OTHER|HR|3279|CREC-2017-11-01-pt1-PgH8323
115|OTHER|HCONRES|10|CREC-2017-11-01-pt1-PgH8386-10
115|OTHER|HJRES|32|CREC-2017-11-01-pt1-PgH8386-10
115|OTHER|HCONRES|40|CREC-2017-11-01-pt1-PgH8386-10
115|OTHER|HCONRES|59|CREC-2017-11-01-pt1-PgH8386-10
115|OTHER|HCONRES|81|CREC-2017-11-01-pt1-PgH8386-10
115|OTHER|HR|116|CREC-2017-11-01-pt1-PgH8386-10
